"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Harnett,"2,344,046","2,373,447","2,319,073","2,446,189",36,1.3,-2.3,5.5,56
Haywood,"1,654,434","1,733,295","1,705,372","1,772,833",47,4.8,-1.6,4.0,77
Henderson,"3,589,117","3,682,597","3,529,508","3,789,714",27,2.6,-4.2,7.4,31
Hertford,"713,149","760,564","757,955","803,978",71,6.6,-0.3,6.1,49
Hoke,"961,009","976,410","992,914","1,026,740",68,1.6,1.7,3.4,82
Hyde,"161,119","151,362","143,492","152,867",99,-6.1,-5.2,6.5,45
Iredell,"8,062,076","8,477,124","8,664,700","9,557,205",9,5.1,2.2,10.3,6
Jackson,"1,338,924","1,420,597","1,410,290","1,522,370",57,6.1,-0.7,7.9,23
Johnston,"6,317,135","6,301,417","6,256,778","6,579,256",17,-0.2,-0.7,5.2,62
Jones,"167,951","194,961","159,917","211,825",95,16.1,-18.0,32.5,1
Lee,"2,582,739","2,484,046","2,387,682","2,601,029",35,-3.8,-3.9,8.9,12
Lenoir,"2,643,355","2,664,438","2,608,339","2,741,945",34,0.8,-2.1,5.1,63
Lincoln,"2,489,044","2,638,216","2,608,320","2,786,720",32,6.0,-1.1,6.8,42
McDowell,"1,489,103","1,430,070","1,381,728","1,403,019",61,-4.0,-3.4,1.5,95
Macon,"1,350,374","1,477,707","1,503,764","1,528,523",56,9.4,1.8,1.6,92
Madison,"368,926","389,006","383,031","398,219",86,5.4,-1.5,4.0,76
Martin,"623,043","612,981","595,354","611,377",79,-1.6,-2.9,2.7,86
Mecklenburg,"98,646,854","101,000,301","103,574,883","109,759,906",1,2.4,2.5,6.0,51
Mitchell,"535,342","557,338","494,347","512,734",82,4.1,-11.3,3.7,80
Montgomery,"864,921","906,863","899,412","961,729",69,4.8,-0.8,6.9,41
Moore,"3,237,080","3,343,825","3,263,758","3,512,562",29,3.3,-2.4,7.6,28
Nash,"4,466,679","4,304,726","4,359,437","4,723,927",21,-3.6,1.3,8.4,16
New Hanover,"11,674,019","12,196,503","12,289,395","13,276,761",8,4.5,0.8,8.0,21
Northampton,"487,545","508,630","487,110","504,171",83,4.3,-4.2,3.5,81
Onslow,"7,520,224","7,622,759","7,613,632","8,130,843",13,1.4,-0.1,6.8,43
Orange,"7,936,485","8,023,896","7,722,454","8,136,151",12,1.1,-3.8,5.4,58
Pamlico,"255,391","267,486","259,761","271,901",90,4.7,-2.9,4.7,71
Pasquotank,"1,334,269","1,353,043","1,365,414","1,432,390",59,1.4,0.9,4.9,69
Pender,"1,354,302","1,448,643","1,452,344","1,553,597",55,7.0,0.3,7.0,40
Perquimans,"249,824","264,053","266,540","285,451",89,5.7,0.9,7.1,38
Person,"1,442,074","1,519,428","1,369,822","1,471,975",58,5.4,-9.8,7.5,29
Pitt,"8,443,674","8,460,865","8,312,732","8,795,073",10,0.2,-1.8,5.8,53
Polk,"407,667","442,483","455,325","496,790",84,8.5,2.9,9.1,10
Randolph,"3,831,681","3,817,840","3,673,563","3,857,285",26,-0.4,-3.8,5.0,66
Richmond,"1,878,806","1,759,820","1,668,806","1,696,140",49,-6.3,-5.2,1.6,93
Robeson,"3,557,134","3,625,970","3,556,279","3,745,034",28,1.9,-1.9,5.3,60
Rockingham,"2,742,826","2,733,407","2,644,338","2,745,155",33,-0.3,-3.3,3.8,79
Rowan,"4,733,864","4,875,398","4,814,891","5,166,517",19,3.0,-1.2,7.3,35
Rutherford,"1,626,012","1,715,158","1,629,966","1,726,524",48,5.5,-5.0,5.9,52
Sampson,"1,869,982","1,851,791","1,703,317","1,884,581",45,-1.0,-8.0,10.6,5
Scotland,"1,029,086","1,066,758","1,000,327","1,074,540",67,3.7,-6.2,7.4,30
Stanly,"1,661,285","1,654,319","1,587,016","1,648,317",51,-0.4,-4.1,3.9,78
Stokes,"1,001,699","996,543","938,026","1,101,483",66,-0.5,-5.9,17.4,2
Surry,"2,266,590","2,254,334","2,155,892","2,310,393",39,-0.5,-4.4,7.2,37
Swain,"571,200","617,006","630,194","657,933",77,8.0,2.1,4.4,73
Transylvania,"1,506,668","1,642,455","1,578,804","1,673,895",50,9.0,-3.9,6.0,50
Tyrrell,"108,221","112,548","113,118","105,799",100,4.0,0.5,-6.5,100
Union,"7,171,738","7,317,307","7,291,789","7,864,493",14,2.0,-0.3,7.9,24
Vance,"1,143,263","1,107,178","1,060,250","1,105,788",65,-3.2,-4.2,4.3,74
Wake,"75,199,772","78,000,116","76,609,937","83,847,416",2,3.7,-1.8,9.4,8
Warren,"274,297","268,145","266,577","271,443",91,-2.2,-0.6,1.8,91
Washington,"230,568","234,714","255,916","251,653",94,1.8,9.0,-1.7,98
Watauga,"1,960,587","2,014,270","1,924,767","2,083,581",44,2.7,-4.4,8.3,19
Wayne,"4,490,189","4,535,725","4,451,023","4,704,244",22,1.0,-1.9,5.7,55
Wilkes,"2,254,252","2,203,704","2,110,158","2,240,886",41,-2.2,-4.2,6.2,48
Wilson,"3,618,964","3,535,906","3,413,879","3,485,097",30,-2.3,-3.5,2.1,89
Yadkin,"847,502","846,901","815,771","883,375",70,-0.1,-3.7,8.3,18
Yancey,"390,016","399,597","381,348","388,928",87,2.5,-4.6,2.0,90
,,,,,,,,,
North Dakota,"55,914,207","56,385,363","53,653,579","53,803,554",--,0.8,-4.8,0.3,--
Adams,"120,857","139,763","100,779","100,801",49,15.6,-27.9,0.0,26
Barnes,"552,896","590,482","564,039","556,185",17,6.8,-4.5,-1.4,29
Benson,"270,117","220,420","230,128","239,496",30,-18.4,4.4,4.1,14
Billings,"147,467","190,908","272,246","212,103",36,29.5,42.6,-22.1,53
Bottineau,"544,928","440,285","429,660","402,573",21,-19.2,-2.4,-6.3,38
Bowman,"272,037","275,603","257,164","251,004",27,1.3,-6.7,-2.4,30
Burke,"249,907","249,050","247,906","229,397",33,-0.3,-0.5,-7.5,40
Burleigh,"5,175,781","5,084,088","4,841,858","5,040,896",2,-1.8,-4.8,4.1,13
Cass,"11,624,451","11,902,587","11,713,122","12,595,913",1,2.4,-1.6,7.5,10
Cavalier,"609,882","360,961","401,974","365,778",22,-40.8,11.4,-9.0,42
Dickey,"305,787","384,590","313,165","312,766",24,25.8,-18.6,-0.1,27
Divide,"253,505","231,740","243,176","217,947",35,-8.6,4.9,-10.4,47
Dunn,"1,554,557","1,828,978","1,841,159","1,627,397",9,17.7,0.7,-11.6,49
Eddy,"173,721","150,727","133,038","127,838",45,-13.2,-11.7,-3.9,32
Emmons,"150,973","154,118","201,024","209,346",37,2.1,30.4,4.1,12
Foster,"240,809","214,163","247,923","237,953",31,-11.1,15.8,-4.0,33
Golden Valley,"88,675","77,124","70,142","77,103",51,-13.0,-9.1,9.9,7
Grand Forks,"3,603,419","3,654,283","3,562,101","3,644,114",5,1.4,-2.5,2.3,19
Grant,"122,769","102,815","107,496","102,567",48,-16.3,4.6,-4.6,34
Griggs,"176,755","155,269","151,092","155,059",40,-12.2,-2.7,2.6,18
Hettinger,"85,391","84,850","101,001","89,280",50,-0.6,19.0,-11.6,48
Kidder,"126,136","128,857","133,301","140,848",43,2.2,3.4,5.7,11
LaMoure,"241,452","282,552","243,333","224,506",34,17.0,-13.9,-7.7,41
Logan,"163,871","125,663","115,098","125,110",46,-23.3,-8.4,8.7,8
McHenry,"299,609","243,979","248,919","290,527",25,-18.6,2.0,16.7,2
McIntosh,"150,986","154,092","152,438","167,917",38,2.1,-1.1,10.2,6
McKenzie,"4,248,290","4,916,862","4,588,949","3,969,480",4,15.7,-6.7,-13.5,51
McLean,"812,865","732,991","733,631","796,835",13,-9.8,0.1,8.6,9
Mercer,"1,033,533","948,123","872,873","792,199",14,-8.3,-7.9,-9.2,44
Morton,"1,372,431","1,391,436","1,395,996","1,449,746",10,1.4,0.3,3.9,15
Mountrail,"2,171,852","2,267,957","2,230,906","2,095,031",8,4.4,-1.6,-6.1,37
Nelson,"178,491","150,639","148,049","134,238",44,-15.6,-1.7,-9.3,46
Oliver,"255,823","245,231","249,034","234,183",32,-4.1,1.6,-6.0,36
Pembina,"434,511","420,457","433,429","449,127",19,-3.2,3.1,3.6,17
Pierce,"245,516","197,670","204,181","241,551",29,-19.5,3.3,18.3,1
Ramsey,"612,077","537,769","566,721","563,866",16,-12.1,5.4,-0.5,28
Ransom,"239,648","260,591","234,548","243,206",28,8.7,-10.0,3.7,16
Renville,"306,824","213,460","177,365","156,272",39,-30.4,-16.9,-11.9,50
Richland,"728,339","747,813","700,652","778,812",15,2.7,-6.3,11.2,4
Rolette,"403,518","358,281","359,658","364,823",23,-11.2,0.4,1.4,22
Sargent,"628,294","733,501","733,678","814,020",12,16.7,0.0,11.0,5
Sheridan,"39,689","35,480","32,654","32,735",53,-10.6,-8.0,0.2,25
Sioux,"140,353","125,678","128,762","119,672",47,-10.5,2.5,-7.1,39
Slope,"38,279","35,005","34,528","39,511",52,-8.6,-1.4,14.4,3
Stark,"2,640,084","2,700,845","2,324,352","2,238,645",7,2.3,-13.9,-3.7,31
Steele,"129,156","143,266","155,900","141,422",42,10.9,8.8,-9.3,45
Stutsman,"1,190,866","1,218,615","1,173,593","1,195,578",11,2.3,-3.7,1.9,21
Towner,"199,331","148,722","177,670","151,726",41,-25.4,19.5,-14.6,52
Traill,"385,245","402,713","424,299","403,925",20,4.5,5.4,-4.8,35
Walsh,"499,242","484,997","536,266","546,774",18,-2.9,10.6,2.0,20
Ward,"3,769,910","3,659,393","3,382,346","3,411,763",6,-2.9,-7.6,0.9,23
Wells,"325,398","264,120","276,142","277,314",26,-18.8,4.6,0.4,24
Williams,"5,753,564","5,909,725","4,624,474","4,204,198",3,2.7,-21.7,-9.1,43
,,,,,,,,,
Ohio,"597,925,518","613,251,353","594,143,599","629,287,041",--,2.6,-3.1,5.9,--
Adams,"872,694","675,829","681,273","717,219",80,-22.6,0.8,5.3,52
Allen,"7,597,930","7,558,271","7,253,048","7,604,646",16,-0.5,-4.0,4.8,57
Ashland,"1,571,586","1,579,051","1,606,240","1,685,073",61,0.5,1.7,4.9,55
Ashtabula,"2,841,614","2,855,855","2,734,051","2,876,033",39,0.5,-4.3,5.2,53
Athens,"1,883,444","1,929,652","1,829,060","1,895,522",58,2.5,-5.2,3.6,72
Auglaize,"2,185,276","2,136,423","2,062,716","2,193,241",45,-2.2,-3.5,6.3,36
Belmont,"3,345,997","3,533,489","3,808,619","3,217,937",35,5.6,7.8,-15.5,86
Brown,"823,344","801,365","770,118","817,960",79,-2.7,-3.9,6.2,37
Butler,"19,710,628","20,353,047","19,408,039","20,241,271",7,3.3,-4.6,4.3,68
Carroll,"1,631,892","1,752,579","1,713,441","1,596,915",64,7.4,-2.2,-6.8,84
Champaign,"1,067,517","1,057,447","1,079,359","1,112,904",74,-0.9,2.1,3.1,75
Clark,"4,153,828","4,195,038","3,972,727","4,255,388",27,1.0,-5.3,7.1,25
Clermont,"7,837,331","8,033,416","7,912,843","8,189,835",15,2.5,-1.5,3.5,73
Clinton,"2,016,907","2,010,581","2,001,921","2,148,275",47,-0.3,-0.4,7.3,21
Columbiana,"2,807,256","2,862,612","2,805,422","3,004,558",37,2.0,-2.0,7.1,27
Coshocton,"1,382,303","1,261,945","1,172,213","1,117,798",73,-8.7,-7.1,-4.6,81
Crawford,"1,169,642","1,231,771","1,179,018","1,262,709",70,5.3,-4.3,7.1,26
Cuyahoga,"86,050,538","88,491,335","84,865,334","90,494,428",2,2.8,-4.1,6.6,29
Darke,"2,205,316","1,900,043","1,961,729","2,088,364",49,-13.8,3.2,6.5,33
Defiance,"1,566,260","1,600,709","1,518,794","1,599,288",63,2.2,-5.1,5.3,51
Delaware,"10,822,395","11,694,974","11,436,611","12,478,154",9,8.1,-2.2,9.1,7
Erie,"4,641,932","4,146,092","3,407,093","3,819,209",30,-10.7,-17.8,12.1,2
Fairfield,"3,960,439","4,174,456","4,163,881","4,477,361",24,5.4,-0.3,7.5,18
Fayette,"2,312,107","2,019,034","2,027,077","2,091,219",48,-12.7,0.4,3.2,74
Franklin,"86,987,322","88,930,048","87,433,710","94,056,835",1,2.2,-1.7,7.6,17
Fulton,"1,849,054","1,843,788","1,839,920","1,973,548",51,-0.3,-0.2,7.3,23
Gallia,"2,074,915","1,983,268","1,809,016","1,920,843",57,-4.4,-8.8,6.2,38
Geauga,"4,016,225","4,028,412","3,790,335","4,018,344",29,0.3,-5.9,6.0,43
Greene,"8,890,627","9,242,052","9,290,243","9,728,549",13,4.0,0.5,4.7,62
Guernsey,"2,054,325","2,189,315","2,151,179","2,010,452",50,6.6,-1.7,-6.5,83
Hamilton,"67,089,575","70,817,027","69,094,486","73,246,499",3,5.6,-2.4,6.0,44
Hancock,"4,951,214","4,898,906","4,820,445","5,192,645",23,-1.1,-1.6,7.7,14
Hardin,"888,149","839,639","841,364","906,194",78,-5.5,0.2,7.7,15
Harrison,"1,138,664","1,340,752","1,658,426","1,311,468",68,17.7,23.7,-20.9,87
Henry,"1,123,859","1,327,987","1,323,026","1,443,401",65,18.2,-0.4,9.1,8
Highland,"1,105,453","1,175,565","1,241,654","1,322,456",67,6.3,5.6,6.5,30
Hocking,"577,643","592,486","569,744","604,463",83,2.6,-3.8,6.1,39
Holmes,"2,301,966","2,325,666","2,307,776","2,410,053",43,1.0,-0.8,4.4,65
Huron,"2,093,840","2,068,155","2,051,798","2,181,710",46,-1.2,-0.8,6.3,35
Jackson,"910,812","917,187","937,947","957,055",77,0.7,2.3,2.0,78
Jefferson,"3,064,767","3,384,457","3,590,592","3,400,044",33,10.4,6.1,-5.3,82
Knox,"1,996,441","1,979,478","1,853,854","1,940,684",54,-0.8,-6.3,4.7,63
Lake,"10,302,991","10,516,403","10,010,263","10,486,828",11,2.1,-4.8,4.8,61
Lawrence,"1,523,615","1,628,422","1,571,990","1,640,067",62,6.9,-3.5,4.3,67
Licking,"5,775,561","6,185,177","6,336,554","6,870,222",19,7.1,2.4,8.4,11
Logan,"1,926,490","1,894,011","1,794,080","1,951,274",53,-1.7,-5.3,8.8,9
Lorain,"9,615,513","9,838,945","9,451,368","10,064,373",12,2.3,-3.9,6.5,31
Lucas,"23,705,169","24,201,818","22,302,796","23,749,326",6,2.1,-7.8,6.5,32
Madison,"1,718,157","1,722,413","1,767,011","1,934,222",55,0.2,2.6,9.5,5
Mahoning,"8,396,128","8,649,806","8,243,942","8,657,526",14,3.0,-4.7,5.0,54
Marion,"2,598,593","2,558,226","2,454,779","2,585,352",42,-1.6,-4.0,5.3,50
Medina,"7,094,164","7,042,396","6,673,352","7,221,718",17,-0.7,-5.2,8.2,12
Meigs,"343,767","364,983","357,156","363,222",86,6.2,-2.1,1.7,79
Mercer,"2,561,959","2,216,781","2,159,894","2,265,378",44,-13.5,-2.6,4.9,56
Miami,"4,002,868","4,033,504","3,990,115","4,211,953",28,0.8,-1.1,5.6,48
Monroe,"1,278,882","1,590,847","2,002,703","1,385,204",66,24.4,25.9,-30.8,88
Montgomery,"26,286,270","26,986,423","26,098,150","27,341,622",5,2.7,-3.3,4.8,59
Morgan,"276,159","304,538","316,153","346,420",87,10.3,3.8,9.6,4
Morrow,"593,481","637,270","597,089","619,412",82,7.4,-6.3,3.7,70
Muskingum,"3,411,002","3,506,749","3,449,484","3,546,611",31,2.8,-1.6,2.8,76
Noble,"636,981","652,841","664,903","603,045",84,2.5,1.8,-9.3,85
Ottawa,"1,861,845","1,898,029","1,817,880","1,923,161",56,1.9,-4.2,5.8,46
Paulding,"547,372","535,414","553,783","574,006",85,-2.2,3.4,3.7,71
Perry,"702,327","696,271","650,155","653,603",81,-0.9,-6.6,0.5,80
Pickaway,"1,557,348","1,646,608","1,707,371","1,815,678",59,5.7,3.7,6.3,34
Pike,"1,046,811","1,031,141","975,908","1,020,253",75,-1.5,-5.4,4.5,64
Portage,"5,842,402","5,858,401","5,598,443","5,845,922",22,0.3,-4.4,4.4,66
Preble,"1,074,290","1,074,723","1,064,728","1,170,287",72,0.0,-0.9,9.9,3
Putnam,"1,166,849","1,148,625","1,186,154","1,282,975",69,-1.6,3.3,8.2,13
Richland,"4,284,741","4,253,558","4,115,230","4,355,007",25,-0.7,-3.3,5.8,45
Ross,"2,514,547","2,589,891","2,555,276","2,710,860",41,3.0,-1.3,6.1,40
Sandusky,"2,795,215","2,720,870","2,613,829","2,944,895",38,-2.7,-3.9,12.7,1
Scioto,"2,644,422","2,830,211","2,641,363","2,833,905",40,7.0,-6.7,7.3,22
Seneca,"1,717,805","1,813,977","1,818,057","1,956,402",52,5.6,0.2,7.6,16
Shelby,"2,920,038","2,942,214","2,900,959","3,145,565",36,0.8,-1.4,8.4,10
Stark,"15,499,037","15,566,191","14,594,798","15,476,101",8,0.4,-6.2,6.0,42
Summit,"27,390,625","27,986,010","26,583,456","28,196,709",4,2.2,-5.0,6.1,41
Trumbull,"6,546,547","6,616,010","6,322,002","6,623,141",20,1.1,-4.4,4.8,60
Tuscarawas,"3,481,683","3,509,807","3,399,756","3,542,982",32,0.8,-3.1,4.2,69
Union,"4,049,554","4,064,411","3,987,703","4,275,930",26,0.4,-1.9,7.2,24
Van Wert,"1,301,729","1,212,303","1,121,601","1,182,257",71,-6.9,-7.5,5.4,49
Vinton,"271,553","281,782","251,239","269,962",88,3.8,-10.8,7.5,19
Warren,"10,698,303","11,563,248","11,184,149","12,207,915",10,8.1,-3.3,9.2,6
Washington,"3,107,136","3,269,479","3,146,595","3,224,161",34,5.2,-3.8,2.5,77
Wayne,"5,728,498","6,008,910","5,978,653","6,317,101",21,4.9,-0.5,5.7,47
Williams,"1,597,822","1,687,734","1,617,271","1,695,544",60,5.6,-4.2,4.8,58
Wood,"6,558,266","6,855,022","6,544,209","7,023,185",18,4.5,-4.5,7.3,20
Wyandot,"950,167","957,106","952,109","1,016,514",76,0.7,-0.5,6.8,28
,,,,,,,,,
Oklahoma,"197,453,215","201,161,507","192,485,453","193,230,034",--,1.9,-4.3,0.4,--
Adair,"450,747","416,915","382,954","434,770",47,-7.5,-8.1,13.5,2
Alfalfa,"256,587","242,718","259,695","234,195",63,-5.4,7.0,-9.8,69
Atoka,"298,369","289,392","290,875","296,744",59,-3.0,0.5,2.0,30
Beaver,"399,970","416,937","412,599","387,151",52,4.2,-1.0,-6.2,67
Beckham,"1,189,268","1,089,891","934,964","927,530",33,-8.4,-14.2,-0.8,52
Blaine,"346,443","458,394","390,849","390,173",51,32.3,-14.7,-0.2,46
Bryan,"1,428,007","1,480,500","1,564,043","1,608,878",18,3.7,5.6,2.9,24
Caddo,"804,809","756,748","726,215","726,612",39,-6.0,-4.0,0.1,45
Canadian,"4,467,853","4,237,825","3,707,018","3,879,990",6,-5.1,-12.5,4.7,15
Carter,"2,809,394","2,967,726","2,625,237","2,628,170",10,5.6,-11.5,0.1,43
Cherokee,"1,063,761","1,089,270","1,146,996","1,231,254",23,2.4,5.3,7.3,6
Choctaw,"366,650","325,599","303,037","349,030",55,-11.2,-6.9,15.2,1
Cimarron,"248,580","240,177","246,280","205,638",67,-3.4,2.5,-16.5,76
Cleveland,"7,531,404","7,500,459","7,441,369","7,705,856",3,-0.4,-0.8,3.6,23
Coal,"128,400","150,483","131,957","124,664",74,17.2,-12.3,-5.5,65
Comanche,"4,512,206","4,543,765","4,450,521","4,515,581",5,0.7,-2.1,1.5,37
Cotton,"134,258","146,559","139,770","138,905",72,9.2,-4.6,-0.6,51
Craig,"436,447","432,448","397,605","383,263",53,-0.9,-8.1,-3.6,61
Creek,"1,849,683","1,922,280","1,816,360","1,817,948",14,3.9,-5.5,0.1,44
Custer,"1,465,736","1,569,614","1,429,207","1,426,369",22,7.1,-8.9,-0.2,47
Delaware,"911,578","882,120","800,318","822,207",36,-3.2,-9.3,2.7,25
Dewey,"285,228","318,540","276,496","286,451",61,11.7,-13.2,3.6,22
Ellis,"258,505","257,734","248,548","216,907",66,-0.3,-3.6,-12.7,73
Garfield,"3,181,085","3,148,857","2,998,679","3,169,154",7,-1.0,-4.8,5.7,12
Garvin,"1,302,446","1,401,956","1,172,835","1,216,427",24,7.6,-16.3,3.7,20
Grady,"1,320,224","1,543,842","1,405,460","1,428,775",21,16.9,-9.0,1.7,35
Grant,"355,266","444,047","483,103","427,220",48,25.0,8.8,-11.6,70
Greer,"94,889","94,472","100,512","93,167",76,-0.4,6.4,-7.3,68
Harmon,"77,237","85,794","88,494","84,437",77,11.1,3.1,-4.6,62
Harper,"313,293","280,451","258,942","189,081",69,-10.5,-7.7,-27.0,77
Haskell,"343,476","343,735","306,540","326,558",57,0.1,-10.8,6.5,9
Hughes,"611,664","612,935","584,713","499,661",44,0.2,-4.6,-14.5,74
Jackson,"915,485","964,790","973,967","1,025,017",30,5.4,1.0,5.2,14
Jefferson,"123,190","109,585","113,487","100,158",75,-11.0,3.6,-11.7,71
Johnston,"379,496","360,808","352,878","392,900",50,-4.9,-2.2,11.3,3
Kay,"1,637,482","1,639,552","1,600,783","1,671,253",17,0.1,-2.4,4.4,17
Kingfisher,"1,072,233","1,229,630","1,159,819","1,153,975",27,14.7,-5.7,-0.5,50
Kiowa,"213,150","244,273","262,288","249,429",62,14.6,7.4,-4.9,63
Latimer,"357,588","342,756","311,354","293,867",60,-4.1,-9.2,-5.6,66
Le Flore,"1,392,979","1,315,036","1,186,228","1,203,973",25,-5.6,-9.8,1.5,36
Lincoln,"708,373","757,335","741,736","782,613",37,6.9,-2.1,5.5,13
Logan,"675,369","682,240","665,045","690,996",41,1.0,-2.5,3.9,18
Love,"415,294","403,572","405,542","399,536",49,-2.8,0.5,-1.5,53
McClain,"1,005,620","1,068,186","1,052,987","1,058,160",29,6.2,-1.4,0.5,40
McCurtain,"963,719","947,071","935,716","1,007,445",31,-1.7,-1.2,7.7,5
McIntosh,"314,866","340,577","331,688","338,577",56,8.2,-2.6,2.1,29
Major,"365,525","384,992","328,206","319,745",58,5.3,-14.7,-2.6,58
Marshall,"414,761","441,455","430,355","456,333",46,6.4,-2.5,6.0,11
Mayes,"1,682,854","1,727,094","1,738,215","1,772,004",16,2.6,0.6,1.9,31
Murray,"501,505","498,216","460,458","469,183",45,-0.7,-7.6,1.9,32
Muskogee,"2,703,336","2,576,934","2,525,814","2,555,552",11,-4.7,-2.0,1.2,39
Noble,"625,173","613,841","525,206","563,647",43,-1.8,-14.4,7.3,7
Nowata,"177,133","181,450","183,288","179,059",70,2.4,1.0,-2.3,56
Okfuskee,"196,888","210,283","190,208","194,800",68,6.8,-9.5,2.4,27
Oklahoma,"65,166,242","66,183,555","63,599,552","63,708,238",1,1.6,-3.9,0.2,41
Okmulgee,"752,002","751,393","755,056","734,729",38,-0.1,0.5,-2.7,59
Osage,"945,990","938,928","886,964","911,078",34,-0.7,-5.5,2.7,26
Ottawa,"933,340","947,880","929,213","945,827",32,1.6,-2.0,1.8,33
Pawnee,"364,821","370,299","354,007","352,661",54,1.5,-4.4,-0.4,49
Payne,"2,991,787","3,084,064","2,978,925","3,043,553",8,3.1,-3.4,2.2,28
Pittsburg,"1,740,821","1,711,033","1,543,425","1,495,071",19,-1.7,-9.8,-3.1,60
Pontotoc,"1,750,402","1,795,026","1,763,233","1,792,811",15,2.5,-1.8,1.7,34
Pottawatomie,"1,988,848","2,136,312","2,056,194","2,189,477",12,7.4,-3.8,6.5,10
Pushmataha,"195,932","194,149","204,075","218,472",65,-0.9,5.1,7.1,8
Roger Mills,"130,019","129,641","130,323","129,897",73,-0.3,0.5,-0.3,48
Rogers,"2,973,784","3,022,374","2,764,844","2,867,770",9,1.6,-8.5,3.7,19
Seminole,"656,736","692,118","663,973","648,745",42,5.4,-4.1,-2.3,55
Sequoyah,"634,765","704,337","688,066","713,351",40,11.0,-2.3,3.7,21
Stephens,"1,477,799","1,534,876","1,431,678","1,452,448",20,3.9,-6.7,1.5,38
Texas,"2,035,808","2,115,473","2,168,252","2,061,790",13,3.9,2.5,-4.9,64
Tillman,"162,174","196,599","151,089","162,858",71,21.2,-23.1,7.8,4
Tulsa,"45,689,769","46,382,009","44,278,575","44,343,824",2,1.5,-4.5,0.1,42
Wagoner,"1,146,615","1,211,929","1,225,036","1,194,402",26,5.7,1.1,-2.5,57
Washington,"7,538,858","8,199,419","7,763,016","6,522,384",4,8.8,-5.3,-16.0,75
Washita,"207,284","228,687","213,117","222,577",64,10.3,-6.8,4.4,16
Woods,"681,160","926,110","932,847","822,939",35,36.0,0.7,-11.8,72
Woodward,"1,161,175","1,181,825","1,100,742","1,083,698",28,1.8,-6.9,-1.5,54
,,,,,,,,,
Oregon,"214,902,549","219,587,988","215,743,621","227,979,057",--,2.2,-1.8,5.7,--
Baker,"551,382","570,429","563,824","572,947",29,3.5,-1.2,1.6,29
Benton,"4,221,079","4,270,422","4,230,357","4,432,827",9,1.2,-0.9,4.8,22
Clackamas,"19,433,586","19,701,506","19,327,535","20,536,661",3,1.4,-1.9,6.3,12
Clatsop,"1,700,925","1,690,565","1,656,128","1,757,964",17,-0.6,-2.0,6.1,13
Columbia,"1,173,747","1,217,153","1,187,801","1,243,021",21,3.7,-2.4,4.6,23
Coos,"2,075,297","2,173,074","2,184,369","2,289,121",14,4.7,0.5,4.8,21
Crook,"753,702","779,178","819,696","945,341",25,3.4,5.2,15.3,1
Curry,"578,963","605,242","656,394","709,626",27,4.5,8.5,8.1,8
Deschutes,"8,815,791","9,338,006","9,384,596","10,243,131",6,5.9,0.5,9.1,5
Douglas,"3,268,968","3,311,322","3,359,390","3,555,936",11,1.3,1.5,5.9,16
Gilliam,"230,251","229,974","306,452","272,537",34,-0.1,33.3,-11.1,36
Grant,"238,850","238,571","237,959","244,529",35,-0.1,-0.3,2.8,28
Harney,"253,583","264,584","270,195","296,288",33,4.3,2.1,9.7,4
Hood River,"1,177,868","1,179,138","1,107,420","1,230,802",22,0.1,-6.1,11.1,3
Jackson,"8,192,511","8,375,684","8,255,786","8,761,650",7,2.2,-1.4,6.1,14
Jefferson,"686,960","695,202","672,408","691,876",28,1.2,-3.3,2.9,27
Josephine,"2,505,874","2,677,430","2,727,041","2,954,596",13,6.8,1.9,8.3,7
Klamath,"2,159,123","2,200,101","2,180,446","2,286,064",15,1.9,-0.9,4.8,20
